date,name,types,size,rate,special
09-11,Life Storage,,,,
,,Outside,5x10,39,"
 Next Month Free!
"
,,Outside,10x10,124,"
"
,,Outside,10x15,179,"
 50% Off Next Month!
"
,,Outside,10x20,195,"
 Next Month Free!
"
,,Outside,10x25,205,"
 Next Month Free!
"
,,Outside,10x30,245,"
 50% Off Next Month!
"
