date,name,types,size,rate,special
09-10,A Storage Inn Weidman,,,,
date,name,types,size,rate,special
09-10,A Storage Inn Weidman,,,,
date,name,types,size,rate,special
09-10,A Storage Inn Weidman,,,,
,,Drive Up,5 x 6,$42,
,,DRIVE UP,6 x 8,$72,
,,DRIVE UP,6 x 12,$95,$1WebSpecialWithPaymentOf2ndMonth
,,CLIMATE CONTROLLED,8 x 10,$110,
,,DRIVE UP,8 x 10,$115,
,,DRIVE UP,10 x 10,$138,$55WebSpecial50%OffFirstMonth
,,DRIVE UP,10 x 14,$254,
,,CLIMATE CONTROLLED,10 x 16,$299,
date,name,types,size,rate,special
09-10,A Storage Inn Weidman,,,,
,,Drive Up,5 x 6,$42,
,,DRIVE UP,6 x 8,$72,
,,DRIVE UP,6 x 12,$95,$1WebSpecialWithPaymentOf2ndMonth
,,CLIMATE CONTROLLED,8 x 10,$110,
,,DRIVE UP,8 x 10,$115,
,,DRIVE UP,10 x 10,$138,$55WebSpecial50%OffFirstMonth
,,DRIVE UP,10 x 14,$254,
,,CLIMATE CONTROLLED,10 x 16,$299,
,,Outside,10 x 16,none,$77WebSpecial50%OffFirstMonth
,,Outside,10 x 20,none,
,,Outside,10 x 25,none,
,,Outside,10 x 30,none,
date,name,types,size,rate,special
09-10,AStorageInn Weidman,,,,
,,Outside,5 x 6,$42,"
                      
                      
                  "
,,Outside,6 x 8,$62,"
                      
                      
                  "
,,Outside,6 x 12,$72,"
                      "
,,Outside,8 x 10,$95,"
                      
                      
                  "
,,Outside,10 x 10,$110,"
                      "
,,Outside,10 x 12,$115,"
                      "
,,Outside,10 x 14,$138,"
                      
                      
                  "
,,Outside,10 x 16,$154,"
                      "
,,Outside,10 x 20,$249,"
                      
                      
                  "
,,Outside,10 x 25,$254,"
                      
                      
                  "
,,Outside,10 x 30,$299,"
                      
                      
                  "
date,name,types,size,rate,special
09-11,Life Storage,,,,
date,name,types,size,rate,special
09-11,Life Storage,,,,
date,name,types,size,rate,special
09-11,Life Storage,,,,
