date,name,types,size,rate,special
09-03,Storage Masters,,,,
date,name,types,size,rate,special
09-03,Storage Masters,,,,
date,name,types,size,rate,special
09-07,A Storage Inn Weidman,,,,
,,DRIVE UP,10 x 10,$138,
,,DRIVE UP,10 x 14,$252,
,,Outside,10 x 20,none,
,,Outside,10 x 25,none,
,,Outside,10 x 30,none,
date,name,types,size,rate,special
09-07,A Storage Inn Weidman,,,,
,,Drive Up,5 x 6,$42,
,,DRIVE UP,6 x 8,$74,
,,DRIVE UP,6 x 12,$95,$1WebSpecialWithPaymentOf2ndMonth
,,CLIMATE CONTROLLED,8 x 10,$113,
,,DRIVE UP,8 x 10,$125,
,,DRIVE UP,10 x 10,$138,
,,DRIVE UP,10 x 14,$252,
,,CLIMATE CONTROLLED,10 x 16,$299,
,,Outside,10 x 16,none,
,,Outside,10 x 20,none,
,,Outside,10 x 25,none,
,,Outside,10 x 30,none,
date,name,types,size,rate,special
09-07,Life Storage,,,,
date,name,types,size,rate,special
09-07,Life Storage,,,,
date,name,types,size,rate,special
09-07,Life Storage,,,,
,,Outside,5x10,39,incomplete
,,Outside,10x10,124,incomplete
,,Outside,10x15,179,incomplete
,,Outside,10x20,195,incomplete
,,Outside,10x25,205,incomplete
,,Outside,10x30,245,incomplete
,,Outside,10x15/10,179,incomplete
,,Outside,10x20/10,195,incomplete
,,Outside,10x25/10,205,incomplete
,,Outside,10x30/10,245,incomplete
date,name,types,size,rate,special
09-07,Public Storage,,,,
date,name,types,size,rate,special
09-11,Public Storage,,,,
date,name,types,size,rate,special
09-11,Public Storage,,,,
date,name,types,size,rate,special
09-11,Public Storage,,,,
date,name,types,size,rate,special
09-11,Public Storage,,,,
date,name,types,size,rate,special
09-11,Public Storage,,,,
