date,name,types,size,rate,special
08-31,A Storage Inn Cave Springs,,,,
,,Outside,5 x 6,$36, $30 Web Special                       First Six Months                   
,,Outside,6 x 12,$74, $47 Web Special                       First Six Months                   
,,Outside,10 x 10,$106, $75 Web Special                       First Six Months                   
,,Outside,10 x 12,$114, $89 Web Special                       First Six Months                   
,,Outside,10 x 14,$115, $96 Web Special                       First Six Months                   
,,Outside,10 x 16,$147, $105 Web Special                       First Six Months                   
,,Outside,10 x 20,$196, $123 Web Special                       First Six Months                   
,,Outside,10 x 25,$246, $150 Web Special                       First Six Months                   
date,name,types,size,rate,special
08-31,A Storage Inn Cave Springs,,,,
,,Outside,5 x 6,$36,$30WebSpecialFirstSixMonths
,,Outside,6 x 12,$74,$47WebSpecialFirstSixMonths
,,Outside,10 x 10,$106,$75WebSpecialFirstSixMonths
,,Outside,10 x 12,$114,$89WebSpecialFirstSixMonths
,,Outside,10 x 14,$115,$96WebSpecialFirstSixMonths
,,Outside,10 x 16,$147,$105WebSpecialFirstSixMonths
,,Outside,10 x 20,$196,$123WebSpecialFirstSixMonths
,,Outside,10 x 25,$246,$150WebSpecialFirstSixMonths
