date,name,types,size,rate,special
08-24-17,Life Storage,,,,
,,Outdoor/Drive-up access, 10' x 10',139,
,,Outdoor/Drive-up access, 10' x 15',159, 50% Off Next Month!
,,Outdoor/Drive-up access, 10' x 20',199, 50% Off Next Month!
