date,name,types,size,rate,special
09-11,Life Storage,,,,
,,Outside,5x5,35,
,,Outside,5x10,59,
,,Outside,10x10,105,
,,Outside,10x15,132,
,,Outside,15x15,193,
,,Outside,10x30,235,
date,name,types,size,rate,special
09-11,Life Storage,,,,
,,Outside,5x5,35,Phone & online only
,,Outside,5x10,59,Phone & online only
,,Outside,10x10,105,Phone & online only
,,Outside,10x15,132,Phone & online only
date,name,types,size,rate,special
09-11,Life Storage,,,,
,,Outside,5x5,35,Phone & online only
,,Outside,5x10,59,Phone & online only
,,Outside,10x10,105,Phone & online only
,,Outside,10x15,132,Phone & online only
