date,name,types,size,rate,special
08-10-17,ExtraSpace,,,,
,,Drive-Up Access,10' x 10',$134,First Month Free
,,Drive-Up Access,10' x 20',$211,
,,Drive-Up Access,10' x 20',,
,,Drive-Up Access,10' x 30',,
date,name,types,size,rate,special
08-10-17,Public Storage,,,,
,,Outside unit/Drive-up access,10' x 10',119,1st Month
,,Outside unit/Drive-up access,10' x 20',127,1st Month
,,Outside unit/Drive-up access,10' x 15',135,1st Month
,,Outside unit/Drive-up access,10' x 30',146,1st Month
date,name,types,size,rate,special
08-10-17,Life Storage,,,,
,,Outdoor/Drive-up access, 10' x 10',149, 50% Off Next Month!
date,name,types,size,rate,special
08-10-17,A1Locker,,,,
,,Outside,5 x 15,"45,00",50% off 2nd months rent.
,,Outside,10 x 10,"60,00",50% off 2nd months rent.
,,Outside,10 x 15,"70,00",50% off 2nd months rent.
,,Outside,10 x 20,"85,00",50% off 2nd months rent.
,,Outside,10 x 25,"100,00",50% off 2nd months rent.
