date,name,types,size,rate,special
08-25-17,Extra Space,,,,
,,Drive-Up Access,10' x 10',$79,Act fast:1 unit left!
,,Drive-Up Access,10' x 15',$116,Act fast:Limited units
date,name,types,size,rate,special
08-25-17,Extra Space,,,,
,,drive up access,6' x 5' Unit,$39.00,none
,,drive up access,10' x 10' Unit,$89.00,none
,,drive up access,10' x 12' Unit,$95.00,none
,,drive up access,10' x 14' Unit,$109.00,none
,,drive up access,10' x 16' Unit,$129.00,none
date,name,types,size,rate,special
08-25-17,AStorageInn Lemay,,,,
,,"
- Outside
",5 x 10,call for details,
,,"
- Outside
",6 x 10,call for details,
,,"
- Outside
",6 x 12,call for details,
,,"
- Outside
",10 x 8,call for details,
,,"
- Outside
",10 x 10,call for details,
,,"
- Outside
",10 x 12,call for details,
,,"
- Outside
",10 x 15,call for details,
,,"
- Outside
",20 x 8,call for details,
,,"
- Outside
",10 x 16,$168,
,,"
- Outside
",10 x 20,$197,
,,"
- Outside
",10 x 24,$221,
date,name,types,size,rate,special
08-25-17,Extra Space,,,,
,,Drive-Up Access,10' x 10',$79,Act fast:1 unit left!
,,Drive-Up Access,10' x 15',$116,Act fast:Limited units
date,name,types,size,rate,special
08-25-17,AStorageInn Lemay,,,,
,,"
- Outside
",5 x 10,call for details,
,,"
- Outside
",6 x 10,call for details,
,,"
- Outside
",6 x 12,call for details,
,,"
- Outside
",10 x 8,call for details,
,,"
- Outside
",10 x 10,call for details,
,,"
- Outside
",10 x 12,call for details,
,,"
- Outside
",10 x 15,call for details,
,,"
- Outside
",20 x 8,call for details,
,,"
- Outside
",10 x 16,$168,
,,"
- Outside
",10 x 20,$197,
,,"
- Outside
",10 x 24,$221,
date,name,types,size,rate,special
08-25-17,Extra Space,,,,
,,drive up access,6' x 5' Unit,$39.00,none
,,drive up access,10' x 10' Unit,$89.00,none
,,drive up access,10' x 12' Unit,$95.00,none
,,drive up access,10' x 14' Unit,$109.00,none
,,drive up access,10' x 16' Unit,$129.00,none
date,name,types,size,rate,special
08-25-17,Extra Space,,,,
,,Drive-Up Access,10' x 10',$79,Act fast:1 unit left!
,,Drive-Up Access,10' x 15',$116,Act fast:Limited units
date,name,types,size,rate,special
08-25-17,AStorageInn Lemay,,,,
,,"
- Outside
",5 x 10,call for details,
,,"
- Outside
",6 x 10,call for details,
,,"
- Outside
",6 x 12,call for details,
,,"
- Outside
",10 x 8,call for details,
,,"
- Outside
",10 x 10,call for details,
,,"
- Outside
",10 x 12,call for details,
,,"
- Outside
",10 x 15,call for details,
,,"
- Outside
",20 x 8,call for details,
,,"
- Outside
",10 x 16,$168,
,,"
- Outside
",10 x 20,$197,
,,"
- Outside
",10 x 24,$221,
date,name,types,size,rate,special
08-25-17,Extra Space,,,,
,,drive up access,6' x 5' Unit,$39.00,none
,,drive up access,10' x 10' Unit,$89.00,none
,,drive up access,10' x 12' Unit,$95.00,none
,,drive up access,10' x 14' Unit,$109.00,none
,,drive up access,10' x 16' Unit,$129.00,none
date,name,types,size,rate,special
08-25-17,AStorageInn Lemay,,,,
,,"
- Outside
",5 x 10,call for details,
,,"
- Outside
",6 x 10,call for details,
,,"
- Outside
",6 x 12,call for details,
,,"
- Outside
",10 x 8,call for details,
,,"
- Outside
",10 x 10,call for details,
,,"
- Outside
",10 x 12,call for details,
,,"
- Outside
",10 x 15,call for details,
,,"
- Outside
",20 x 8,call for details,
,,"
- Outside
",10 x 16,$169,
,,"
- Outside
",10 x 20,$197,
,,"
- Outside
",10 x 24,$221,
date,name,types,size,rate,special
08-25-17,AStorageInn Lemay,,,,
,,"
- Outside
",5 x 10,call for details,
,,"
- Outside
",6 x 10,call for details,
,,"
- Outside
",6 x 12,call for details,
,,"
- Outside
",10 x 8,call for details,
,,"
- Outside
",10 x 10,call for details,
,,"
- Outside
",10 x 12,call for details,
,,"
- Outside
",10 x 15,call for details,
,,"
- Outside
",20 x 8,call for details,
,,"
- Outside
",10 x 16,$169,
,,"
- Outside
",10 x 20,$197,
,,"
- Outside
",10 x 24,$221,
date,name,types,size,rate,special
08-25-17,Extra Space,,,,
,,drive up access,6' x 5' Unit,$39.00,none
,,drive up access,10' x 10' Unit,$89.00,none
,,drive up access,10' x 12' Unit,$95.00,none
,,drive up access,10' x 14' Unit,$109.00,none
,,drive up access,10' x 16' Unit,$129.00,none
date,name,types,size,rate,special
08-25-17,Extra Space,,,,
,,drive up access,6' x 5' Unit,$39.00,none
,,drive up access,10' x 10' Unit,$89.00,none
,,drive up access,10' x 12' Unit,$95.00,none
,,drive up access,10' x 14' Unit,$109.00,none
,,drive up access,10' x 16' Unit,$129.00,none
date,name,types,size,rate,special
08-25-17,ExtraSpace,,,,
,,Drive-Up Access,10' x 10',$133,First Month Free
,,Drive-Up Access,10' x 20',$227,First Month Half Off
,,Drive-Up Access,10' x 20',,
,,Drive-Up Access,10' x 30',,
date,name,types,size,rate,special
08-25-17,Extra Space,,,,
,,Drive-Up Access,10' x 10',$79,Act fast:1 unit left!
,,Drive-Up Access,10' x 15',$116,Act fast:Limited units
date,name,types,size,rate,special
08-25-17,Public Storage,,,,
,,Outside unit/Drive-up access,10' x 10',130,1st Month
,,Outside unit/Drive-up access,10' x 15',147,1st Month
,,Outside unit/Drive-up access,10' x 20',154,1st Month
,,Outside unit/Drive-up access,10' x 30',222,2nd Month
date,name,types,size,rate,special
08-25-17,Life Storage,,,,
,,Outdoor/Drive-up access, 10' x 10',139,
,,Outdoor/Drive-up access, 10' x 15',159, 50% Off Next Month!
,,Outdoor/Drive-up access, 10' x 20',199, 50% Off Next Month!
date,name,types,size,rate,special
08-25-17,AStorageInn Lemay,,,,
,,"
- Outside
",5 x 10,call for details,
,,"
- Outside
",6 x 10,call for details,
,,"
- Outside
",6 x 12,call for details,
,,"
- Outside
",10 x 8,call for details,
,,"
- Outside
",10 x 10,call for details,
,,"
- Outside
",10 x 12,call for details,
,,"
- Outside
",10 x 15,call for details,
,,"
- Outside
",20 x 8,call for details,
,,"
- Outside
",10 x 16,$169,
,,"
- Outside
",10 x 20,$197,
,,"
- Outside
",10 x 24,$221,
date,name,types,size,rate,special
,Public Storage,,,,
,,Outside,10' x 15',$109/mo.,$1^1st Month
,,Outside,10' x 10',$125/mo.,$60/mo.Online Special^$67 In-store
,,Outside,10' x 20',$178/mo.,50% OFF^1st Month
date,name,types,size,rate,special
,Life Storage,,,,
,,Outside,"10,10",105,None
,,Outside,"10,15",142,None
,,Outside,"10,20",,None
,,Outside,"10,30",245,None
,,Outside,"10,15,8,8",142,None
,,Outside,"10,30,8,8",245,None
date,name,types,size,rate,special
08-25-17,Extra Space,,,,
,,drive up access,6' x 5' Unit,$39.00,none
,,drive up access,10' x 10' Unit,$89.00,none
