date,name,types,size,rate,special
08-28,AStorageInn Cave Springs,,,,
,,Outside,5 x 6,$36,
,,Outside,5 x 8,call for details,
,,Outside,5 x 12,$55,
,,Outside,6 x 12,$56,
,,Outside,8 x 10,$79,
,,Outside,10 x 10,$89,
,,Outside,10 x 12,$106,
,,Outside,10 x 14,$114,
,,Outside,12 x 12,$115,
,,Outside,6 x 24,$131,
,,Outside,10 x 16,$125,
,,Outside,10 x 20,$147,
,,Outside,10 x 24,$196,
,,Outside,12 x 20,$196,
,,Outside,20 x 12,$196,
,,Outside,10 x 25,$179,
,,Outside,10 x 30,$246,
,,Outside,10 x 26,$53,
,,Outside,10 x 28,$46,
,,Outside,10 x 30,$59,
date,name,types,size,rate,special
08-28,Public Storage,,,,
,,Outside,8' x 10',$89/mo.,$1^1st Month1st Month
,,Outside,10' x 10',$83.50/mo.,$81/mo.Online Special^$81 In-store
,,Outside,10' x 20',$178/mo.,$89/mo.Online Special^$99 In-store1st Month
date,name,types,size,rate,special
08-28,Life Storage,,,,
,,Outside,5x5,39, 50% Off Next Month!
,,Outside,5x10/10x5,59,none
,,Outside,10x10,105,none
,,Outside,10x15,142,none
,,Outside,10x30,245,none
date,name,types,size,rate,special
08-28,Life Storage,,,,
,,Outside,5x5,39, 50% Off Next Month!
,,Outside,5x10/10x5,59,none
,,Outside,10x10,105,none
,,Outside,10x15,142,none
,,Outside,10x30,245,none
date,name,types,size,rate,special
08-28,St. Peters,,,,
,,Outside,10x8,75,50% Off First Three Month's
,,Outside,10x10,89,50% Off First Three Month's
,,Outside,10x12,95,50% Off First Three Month's
,,Outside,10x14,109,50% Off First Three Month's
,,Outside,10x16,129,50% Off First Three Month's
,,Outside,10x24,169,50% Off First Three Month's
date,name,types,size,rate,special
08-28-17,AStorageInn Lemay,,,,
,,"
- Outside
",5 x 10,call for details,
,,"
- Outside
",6 x 10,call for details,
,,"
- Outside
",6 x 12,call for details,
,,"
- Outside
",10 x 8,call for details,
,,"
- Outside
",10 x 10,call for details,
,,"
- Outside
",10 x 12,call for details,
,,"
- Outside
",10 x 15,call for details,
,,"
- Outside
",20 x 8,call for details,
,,"
- Outside
",10 x 16,$163,
,,"
- Outside
",10 x 20,$197,
,,"
- Outside
",10 x 24,$223,
date,name,types,size,rate,special
08-28,Public Storage,,,,
,,Outside,10' x 15',$151/mo.,$1^1st Month1st Month
,,Outside,10' x 20',$154/mo.,$107/mo.Online Special^$107 In-store1st Month
,,Outside,10' x 10',$174/mo.,$1^1st Month1st Month
date,name,types,size,rate,special
08-28-17,Life Storage,,,,
,,Outdoor/Drive-up access, 10' x 10',139,
,,Outdoor/Drive-up access, 10' x 15',159,
,,Outdoor/Drive-up access, 10' x 20',199, 50% Off Next Month!
date,name,types,size,rate,special
08-28-17,ExtraSpace,,,,
,,Drive-Up Access,10' x 20',$228,
,,Drive-Up Access,10' x 30',$308,
,,Drive-Up Access,10' x 10',,
,,Drive-Up Access,10' x 20',,
date,name,types,size,rate,special
08-28-17,A1Locker,,,,
,,Outside,5 x 15,89.00,50% off 2nd months rent.
,,Outside,10 x 10,119.00,50% off 2nd months rent.
,,Outside,10 x 15,139.00,50% off 2nd months rent.
,,Outside,10 x 20,169.00,50% off 2nd months rent.
,,Outside,10 x 25,199.00,50% off 2nd months rent.
