date,name,types,size,rate,special
08-30,AStorageInn Cave Springs,,,,
,,Outside,5 x 6,$36,$30 Web Special
,,Outside,6 x 12,$56,$47 Web Special
,,Outside,10 x 10,$89,$75 Web Special
,,Outside,10 x 12,$106,$89 Web Special
,,Outside,10 x 14,$114,$96 Web Special
,,Outside,10 x 16,$125,$105 Web Special
,,Outside,10 x 20,$147,$123 Web Special
,,Outside,10 x 25,$179,$150 Web Special
date,name,types,size,rate,special
08-30-17,Extra Space,,,,
,,Drive-Up Access,10' x 15',$116,Act fast:1 unit left!
,,Drive-Up Access,10' x 10',,
