date,name,types,size,rate,special
08-12-17,ExtraSpace,,,,
,,Drive-Up Access,10' x 10',$146,First Month Half Off
,,Drive-Up Access,10' x 20',$209,
,,Drive-Up Access,10' x 20',$209,
,,Drive-Up Access,10' x 30',$280,
date,name,types,size,rate,special
08-12-17,Public Storage,,,,
,,Outside unit/Drive-up access,10' x 10',119,1st Month
,,Outside unit/Drive-up access,10' x 20',129,1st Month
,,Outside unit/Drive-up access,10' x 15',135,1st Month
,,Outside unit/Drive-up access,10' x 30',146,2nd Month
date,name,types,size,rate,special
08-12-17,Life Storage,,,,
,,Outdoor/Drive-up access, 10' x 10',149, 50% Off Next Month!
,,Outdoor/Drive-up access, 10' x 15',169,
,,Outdoor/Drive-up access, 10' x 20',189,
date,name,types,size,rate,special
08-12-17,A1Locker,,,,
,,Outside,5 x 15,89.00,50% off 2nd months rent.
,,Outside,10 x 10,119.00,50% off 2nd months rent.
,,Outside,10 x 15,139.00,50% off 2nd months rent.
,,Outside,10 x 20,169.00,50% off 2nd months rent.
,,Outside,10 x 25,199.00,50% off 2nd months rent.
date,name,types,size,rate,special
08-12-17,ExtraSpace,,,,
,,Drive-Up Access,10' x 10',$146,First Month Half Off
,,Drive-Up Access,10' x 20',$209,
,,Drive-Up Access,10' x 20',$209,
,,Drive-Up Access,10' x 30',$280,
date,name,types,size,rate,special
08-12-17,Public Storage,,,,
,,Outside unit/Drive-up access,10' x 10',119,1st Month
,,Outside unit/Drive-up access,10' x 20',129,1st Month
,,Outside unit/Drive-up access,10' x 15',135,1st Month
,,Outside unit/Drive-up access,10' x 30',146,2nd Month
date,name,types,size,rate,special
08-12-17,Life Storage,,,,
,,Outdoor/Drive-up access, 10' x 10',149, 50% Off Next Month!
,,Outdoor/Drive-up access, 10' x 15',169,
,,Outdoor/Drive-up access, 10' x 20',189,
date,name,types,size,rate,special
08-12-17,A1Locker,,,,
,,Outside,5 x 15,89.00,50% off 2nd months rent.
,,Outside,10 x 10,119.00,50% off 2nd months rent.
,,Outside,10 x 15,139.00,50% off 2nd months rent.
,,Outside,10 x 20,169.00,50% off 2nd months rent.
,,Outside,10 x 25,199.00,50% off 2nd months rent.
date,name,types,size,rate,special
08-12-17,ExtraSpace,,,,
,,Drive-Up Access,10' x 10',$146,First Month Half Off
,,Drive-Up Access,10' x 20',$209,
,,Drive-Up Access,10' x 20',$209,
,,Drive-Up Access,10' x 30',$280,
date,name,types,size,rate,special
08-12-17,Public Storage,,,,
,,Outside unit/Drive-up access,10' x 10',119,1st Month
,,Outside unit/Drive-up access,10' x 20',129,1st Month
,,Outside unit/Drive-up access,10' x 15',135,1st Month
,,Outside unit/Drive-up access,10' x 30',146,2nd Month
date,name,types,size,rate,special
08-12-17,Life Storage,,,,
,,Outdoor/Drive-up access, 10' x 10',149, 50% Off Next Month!
,,Outdoor/Drive-up access, 10' x 15',169,
,,Outdoor/Drive-up access, 10' x 20',189,
date,name,types,size,rate,special
08-12-17,A1Locker,,,,
,,Outside,5 x 15,89.00,50% off 2nd months rent.
,,Outside,10 x 10,119.00,50% off 2nd months rent.
,,Outside,10 x 15,139.00,50% off 2nd months rent.
,,Outside,10 x 20,169.00,50% off 2nd months rent.
,,Outside,10 x 25,199.00,50% off 2nd months rent.
