date,name,types,size,rate,special
10-13,AStorageInn Lemay,,,,
,,"
- Outside
",5 x 10,call for details,
,,"
- Outside
",6 x 10,call for details,
,,"
- Outside
",6 x 12,$90,$77 Web Special
,,"
- Outside
",10 x 8,$98,$90 Web Special
,,"
- Outside
",10 x 10,$100,$92 Web Special
,,"
- Outside
",10 x 12,$137,$126 Web Special
,,"
- Outside
",10 x 15,call for details,
,,"
- Outside
",10 x 16,call for details,
,,"
- Outside
",20 x 8,call for details,
,,"
- Outside
",10 x 20,call for details,
,,"
- Outside
",10 x 24,call for details,
date,name,types,size,rate,special
10-13,Public Storage,,,,
,,Outside,10' x 10',$109/mo.,incomplete
,,Outside,10' x 15',$135/mo.,incomplete
,,Outside,10' x 20',$155/mo.,incomplete
,,Outside,10' x 30',$186/mo.,incomplete
date,name,types,size,rate,special
10-13,Life Storage,,,,
,,Outside,5x10,55, Next Month Free!
,,Outside,10x10,89, Next Month Free!
,,Outside,10x15,135, 50% Off Next Month!
,,Outside,10x20,149, Next Month Free!
,,Outside,10x25,199, 50% Off Next Month!
,,Outside,10x30,239, Next Month Free!
date,name,types,size,rate,special
10-13,ExtraSpace,,,,
,,Drive-Up Access,10' x 10',$179,First Month Free
,,Drive-Up Access,10' x 20',$219,
,,Drive-Up Access,10' x 20',$219,
,,Drive-Up Access,10' x 30',,
date,name,types,size,rate,special
10-13,A1Locker,,,,
,,Outside,5 x 15,85.00,50% OFF 1st Months Rent
,,Outside,10 x 10,109.00,50% OFF 1st Months Rent
,,Outside,10 x 15,139.00,50% OFF 1st Months Rent
,,Outside,10 x 20,149.00,50% OFF 1st Months Rent
,,Outside,10 x 25,189.00,50% OFF 1st Months Rent
