date,name,types,size,rate,special
08-23-17,ExtraSpace,,,,
,,Drive-Up Access,10' x 10',$133,First Month Free
,,Drive-Up Access,10' x 20',$225,First Month Half Off
,,Drive-Up Access,10' x 20',$225,First Month Half Off
,,Drive-Up Access,10' x 30',,
date,name,types,size,rate,special
08-23-17,Public Storage,,,,
,,Outside unit/Drive-up access,10' x 10',130,1st Month
,,Outside unit/Drive-up access,10' x 15',147,1st Month
,,Outside unit/Drive-up access,10' x 20',154,1st Month
,,Outside unit/Drive-up access,10' x 30',222,2nd Month
date,name,types,size,rate,special
08-23-17,Life Storage,,,,
,,Outdoor/Drive-up access, 10' x 10',139,
,,Outdoor/Drive-up access, 10' x 15',159, 50% Off Next Month!
,,Outdoor/Drive-up access, 10' x 20',199, 50% Off Next Month!
date,name,types,size,rate,special
08-23-17,AStorageInn Lemay,,,,
,,"
- Outside
",5 x 10,call for details,
,,"
- Outside
",6 x 10,call for details,
,,"
- Outside
",6 x 12,call for details,
,,"
- Outside
",10 x 8,call for details,
,,"
- Outside
",10 x 10,call for details,
,,"
- Outside
",10 x 12,call for details,
,,"
- Outside
",10 x 15,call for details,
,,"
- Outside
",20 x 8,call for details,
,,"
- Outside
",10 x 16,$168,
,,"
- Outside
",10 x 20,$197,
,,"
- Outside
",10 x 24,$221,
date,name,types,size,rate,special
08-23-17,A1Locker,,,,
,,Outside,5 x 15,89.00,50% off 2nd months rent.
,,Outside,10 x 10,119.00,50% off 2nd months rent.
,,Outside,10 x 15,139.00,50% off 2nd months rent.
,,Outside,10 x 20,169.00,50% off 2nd months rent.
,,Outside,10 x 25,199.00,50% off 2nd months rent.
